
> my-project@0.1.0 dev
> next dev --hostname 127.0.0.1 --port 3002

▲ Next.js 16.2.4 (Turbopack)
- Local:         http://127.0.0.1:3002
- Network:       http://127.0.0.1:3002
✓ Ready in 10.7s

 GET / 200 in 362ms (next.js: 60ms, proxy.ts: 7ms, application-code: 295ms)
 GET / 200 in 394ms (next.js: 52ms, proxy.ts: 10ms, application-code: 332ms)
 GET / 200 in 403ms (next.js: 16ms, proxy.ts: 11ms, application-code: 376ms)
 GET / 200 in 370ms (next.js: 28ms, proxy.ts: 48ms, application-code: 294ms)
 GET / 200 in 415ms (next.js: 82ms, proxy.ts: 10ms, application-code: 323ms)
 GET / 200 in 469ms (next.js: 21ms, proxy.ts: 61ms, application-code: 387ms)
 GET / 200 in 465ms (next.js: 55ms, proxy.ts: 9ms, application-code: 401ms)
 GET / 200 in 477ms (next.js: 39ms, proxy.ts: 10ms, application-code: 427ms)
 GET / 200 in 479ms (next.js: 116ms, proxy.ts: 13ms, application-code: 350ms)
 GET / 200 in 496ms (next.js: 84ms, proxy.ts: 101ms, application-code: 310ms)
 GET / 200 in 357ms (next.js: 63ms, proxy.ts: 30ms, application-code: 263ms)
 GET / 200 in 430ms (next.js: 19ms, proxy.ts: 11ms, application-code: 399ms)
 GET / 200 in 620ms (next.js: 89ms, proxy.ts: 7ms, application-code: 524ms)
 GET / 200 in 625ms (next.js: 108ms, proxy.ts: 21ms, application-code: 495ms)
 GET / 200 in 635ms (next.js: 37ms, proxy.ts: 18ms, application-code: 581ms)
 GET / 200 in 601ms (next.js: 31ms, proxy.ts: 181ms, application-code: 389ms)
 GET / 200 in 422ms (next.js: 82ms, proxy.ts: 14ms, application-code: 326ms)
 GET / 200 in 354ms (next.js: 32ms, proxy.ts: 142ms, application-code: 180ms)
 GET / 200 in 202ms (next.js: 27ms, proxy.ts: 75ms, application-code: 100ms)
 GET / 200 in 614ms (next.js: 131ms, proxy.ts: 59ms, application-code: 425ms)
 GET / 200 in 418ms (next.js: 14ms, proxy.ts: 10ms, application-code: 394ms)
 GET / 200 in 325ms (next.js: 20ms, proxy.ts: 16ms, application-code: 290ms)
 GET / 200 in 325ms (next.js: 50ms, proxy.ts: 16ms, application-code: 258ms)
 GET / 200 in 330ms (next.js: 152ms, proxy.ts: 17ms, application-code: 161ms)
 GET / 200 in 336ms (next.js: 87ms, proxy.ts: 17ms, application-code: 232ms)
 GET / 200 in 412ms (next.js: 25ms, proxy.ts: 9ms, application-code: 378ms)
 GET / 200 in 379ms (next.js: 33ms, proxy.ts: 7ms, application-code: 338ms)
 GET / 200 in 388ms (next.js: 110ms, proxy.ts: 16ms, application-code: 262ms)
 GET / 200 in 391ms (next.js: 94ms, proxy.ts: 78ms, application-code: 219ms)
 GET / 200 in 322ms (next.js: 120ms, proxy.ts: 18ms, application-code: 184ms)
 GET / 200 in 412ms (next.js: 153ms, proxy.ts: 24ms, application-code: 235ms)
 GET / 200 in 409ms (next.js: 12ms, proxy.ts: 6ms, application-code: 391ms)
 GET / 200 in 362ms (next.js: 38ms, proxy.ts: 10ms, application-code: 314ms)
 GET / 200 in 389ms (next.js: 73ms, proxy.ts: 58ms, application-code: 259ms)
 GET / 200 in 381ms (next.js: 91ms, proxy.ts: 78ms, application-code: 212ms)
 GET / 200 in 302ms (next.js: 121ms, proxy.ts: 21ms, application-code: 160ms)
 GET / 200 in 341ms (next.js: 157ms, proxy.ts: 10ms, application-code: 174ms)
 GET / 200 in 386ms (next.js: 11ms, proxy.ts: 7ms, application-code: 368ms)
 GET / 200 in 354ms (next.js: 29ms, proxy.ts: 11ms, application-code: 314ms)
 GET / 200 in 428ms (next.js: 71ms, proxy.ts: 10ms, application-code: 347ms)
 GET / 200 in 434ms (next.js: 85ms, proxy.ts: 53ms, application-code: 296ms)
 GET / 200 in 393ms (next.js: 114ms, proxy.ts: 16ms, application-code: 263ms)
 GET / 200 in 427ms (next.js: 135ms, proxy.ts: 64ms, application-code: 228ms)
 GET / 200 in 525ms (next.js: 31ms, proxy.ts: 7ms, application-code: 487ms)
 GET / 200 in 522ms (next.js: 34ms, proxy.ts: 83ms, application-code: 405ms)
 GET / 200 in 502ms (next.js: 78ms, proxy.ts: 14ms, application-code: 410ms)
 GET / 200 in 490ms (next.js: 98ms, proxy.ts: 45ms, application-code: 346ms)
 GET / 200 in 529ms (next.js: 178ms, proxy.ts: 15ms, application-code: 336ms)
 GET / 200 in 531ms (next.js: 198ms, proxy.ts: 68ms, application-code: 265ms)
 GET / 200 in 539ms (next.js: 28ms, proxy.ts: 8ms, application-code: 503ms)
 GET / 200 in 543ms (next.js: 85ms, proxy.ts: 12ms, application-code: 447ms)
 GET / 200 in 480ms (next.js: 39ms, proxy.ts: 79ms, application-code: 362ms)
 GET / 200 in 477ms (next.js: 77ms, proxy.ts: 81ms, application-code: 319ms)
 GET / 200 in 536ms (next.js: 152ms, proxy.ts: 13ms, application-code: 370ms)
 GET / 200 in 625ms (next.js: 86ms, proxy.ts: 131ms, application-code: 409ms)
 GET / 200 in 518ms (next.js: 27ms, proxy.ts: 12ms, application-code: 479ms)
 GET / 200 in 517ms (next.js: 161ms, proxy.ts: 9ms, application-code: 347ms)
 GET / 200 in 388ms (next.js: 125ms, proxy.ts: 11ms, application-code: 252ms)
 GET / 200 in 390ms (next.js: 154ms, proxy.ts: 17ms, application-code: 220ms)
 GET / 200 in 393ms (next.js: 90ms, proxy.ts: 14ms, application-code: 288ms)
 GET / 200 in 489ms (next.js: 91ms, proxy.ts: 44ms, application-code: 354ms)
 GET / 200 in 706ms (next.js: 63ms, proxy.ts: 11ms, application-code: 633ms)
 GET / 200 in 693ms (next.js: 119ms, proxy.ts: 20ms, application-code: 555ms)
 GET / 200 in 677ms (next.js: 155ms, proxy.ts: 18ms, application-code: 504ms)
 GET / 200 in 693ms (next.js: 159ms, proxy.ts: 94ms, application-code: 439ms)
 GET / 200 in 674ms (next.js: 227ms, proxy.ts: 54ms, application-code: 393ms)
 GET / 200 in 719ms (next.js: 146ms, proxy.ts: 23ms, application-code: 550ms)
 GET / 200 in 716ms (next.js: 43ms, proxy.ts: 17ms, application-code: 656ms)
 GET / 200 in 710ms (next.js: 121ms, proxy.ts: 13ms, application-code: 577ms)
 GET / 200 in 723ms (next.js: 192ms, proxy.ts: 20ms, application-code: 512ms)
 GET / 200 in 715ms (next.js: 199ms, proxy.ts: 84ms, application-code: 433ms)
 GET / 200 in 657ms (next.js: 215ms, proxy.ts: 86ms, application-code: 355ms)
 GET / 200 in 751ms (next.js: 39ms, proxy.ts: 148ms, application-code: 564ms)
 GET / 200 in 706ms (next.js: 70ms, proxy.ts: 11ms, application-code: 625ms)
 GET / 200 in 697ms (next.js: 151ms, proxy.ts: 21ms, application-code: 525ms)
 GET / 200 in 693ms (next.js: 191ms, proxy.ts: 26ms, application-code: 477ms)
 GET / 200 in 686ms (next.js: 156ms, proxy.ts: 97ms, application-code: 432ms)
 GET / 200 in 686ms (next.js: 207ms, proxy.ts: 85ms, application-code: 394ms)
 GET / 200 in 563ms (next.js: 67ms, proxy.ts: 16ms, application-code: 480ms)
 GET / 200 in 655ms (next.js: 31ms, proxy.ts: 15ms, application-code: 609ms)
 GET / 200 in 657ms (next.js: 129ms, proxy.ts: 16ms, application-code: 512ms)
 GET / 200 in 639ms (next.js: 184ms, proxy.ts: 8ms, application-code: 447ms)
 GET / 200 in 632ms (next.js: 152ms, proxy.ts: 106ms, application-code: 374ms)
 GET / 200 in 480ms (next.js: 161ms, proxy.ts: 15ms, application-code: 305ms)
 GET / 200 in 197ms (next.js: 23ms, proxy.ts: 14ms, application-code: 160ms)
 GET / 200 in 999ms (next.js: 14ms, proxy.ts: 9ms, application-code: 976ms)
 GET / 200 in 235ms (next.js: 18ms, proxy.ts: 14ms, application-code: 203ms)
